都道府県,人口（人）
北海道,"5,212,462"
青森県,"1,230,535"
岩手県,"1,212,201"
宮城県,"2,292,690"
秋田県,"952,069"
山形県,"1,064,954"
福島県,"1,830,114"
茨城県,"2,854,131"
栃木県,"1,932,091"
群馬県,"1,926,370"
埼玉県,"7,343,453"
千葉県,"6,281,394"
東京都,"13,971,109"
神奈川県,"9,214,151"
新潟県,"2,199,746"
富山県,"1,034,670"
石川県,"1,130,159"
福井県,"762,679"
山梨県,"806,210"
長野県,"2,034,145"
岐阜県,"1,974,142"
静岡県,"3,618,972"
愛知県,"7,541,123"
三重県,"1,767,615"
滋賀県,"1,412,415"
京都府,"2,568,427"
大阪府,"8,817,372"
兵庫県,"5,438,891"
奈良県,"1,322,970"
和歌山県,"914,055"
鳥取県,"551,402"
島根県,"666,941"
岡山県,"1,882,356"
広島県,"2,794,862"
山口県,"1,341,506"
徳島県,"721,269"
香川県,"948,801"
愛媛県,"1,326,487"
高知県,"689,785"
福岡県,"5,106,774"
佐賀県,"808,821"
長崎県,"1,310,660"
熊本県,"1,735,901"
大分県,"1,124,983"
宮崎県,"1,063,759"
鹿児島県,"1,587,342"
沖縄県,"1,458,839"
全国,"125,781,803"
