都道府県,面積（km2）
北海道,"83,424.44"
青森県,"9,645.64"
岩手県,"15,275.01"
宮城県,"7,282.29"
秋田県,"11,637.52"
山形県,"9,323.15"
福島県,"13,784.14"
茨城県,"6,097.39"
栃木県,"6,408.09"
群馬県,"6,362.28"
埼玉県,"3,797.75"
千葉県,"5,157.57"
東京都,"2,194.03"
神奈川県,"2,416.11"
新潟県,"12,583.96"
富山県,"4,247.58"
石川県,"4,186.21"
福井県,"4,190.52"
山梨県,"4,465.27"
長野県,"13,561.56"
岐阜県,"10,621.29"
静岡県,"7,777.35"
愛知県,"5,173.07"
三重県,"5,774.49"
滋賀県,"4,017.38"
京都府,"4,612.20"
大阪府,"1,905.32"
兵庫県,"8,401.02"
奈良県,"3,690.94"
和歌山県,"4,724.65"
鳥取県,"3,507.14"
島根県,"6,707.89"
岡山県,"7,114.33"
広島県,"8,479.65"
山口県,"6,112.54"
徳島県,"4,146.75"
香川県,"1,876.78"
愛媛県,"5,676.19"
高知県,"7,103.63"
福岡県,"4,986.51"
佐賀県,"2,440.69"
長崎県,"4,130.98"
熊本県,"7,409.46"
大分県,"6,340.76"
宮崎県,"7,735.22"
鹿児島県,"9,187.06"
沖縄県,"2,282.59"
全国,"377,976.41"
